"configuration","metric","observations","mean","sd","median","min","max"
"A_B_C_FULL","adaptive_shrink_rate",90,75,0,75,75,75
"A_B_C_FULL","avg_word_heat",90,1.62152043333333,0.153042599414442,1.685965,1.021053,1.74386
"A_B_C_FULL","bucket_hit_percent",90,59.2682222222222,0.965866412911492,59.54,55.41,60.18
"A_B_C_FULL","bucket_hits",90,2371.22222222222,38.6452543063117,2382,2217,2408
"A_B_C_FULL","bucket_search_latency_ns",90,55.5333333333333,3.7870269386034,55,50,73
"A_B_C_FULL","bucket_search_stddev_ns",90,30156.3555555556,114396.696557486,4263,3372,794756
"A_B_C_FULL","cache_hit_latency_ns",90,33.5333333333333,3.51944837352853,33,31,58
"A_B_C_FULL","cache_hit_percent",90,22.7616666666667,0.965973049615914,22.49,21.84,26.62
"A_B_C_FULL","cache_hit_stddev_ns",90,10067.8333333333,61233.7207820544,1290,1052,534094
"A_B_C_FULL","cache_hits",90,910.777777777778,38.6452543063117,900,874,1065
"A_B_C_FULL","context_accuracy_percent",90,88.37,0,88.37,88.37,88.37
"A_B_C_FULL","context_correct",90,752,0,752,752,752
"A_B_C_FULL","context_predictions_total",90,851,0,851,851,851
"A_B_C_FULL","cpu_freq_delta_mhz_q48",90,1897631.28888889,6149225.96843639,0,-11403264,34406400
"A_B_C_FULL","cpu_temp_delta_c_q48",90,0,0,0,0,0
"A_B_C_FULL","decay_min_interval_ns",90,1000,0,1000,1000,1000
"A_B_C_FULL","decay_rate_q16",90,1,0,1,1,1
"A_B_C_FULL","decay_slope",90,0.33,0,0.33,0.33,0.33
"A_B_C_FULL","enable_hotwords_cache",90,1,0,1,1,1
"A_B_C_FULL","enable_pipelining",90,1,0,1,1,1
"A_B_C_FULL","final_effective_window_size",90,4096,0,4096,4096,4096
"A_B_C_FULL","heat_cache_demotion_threshold",90,10,0,10,10,10
"A_B_C_FULL","hot_word_count",90,5.8,0.564890364226109,6,4,7
"A_B_C_FULL","prefetch_accuracy_percent",90,88.37,0,88.37,88.37,88.37
"A_B_C_FULL","prefetch_attempts",90,851,0,851,851,851
"A_B_C_FULL","prefetch_hits",90,752,0,752,752,752
"A_B_C_FULL","rolling_window_size",90,4096,0,4096,4096,4096
"A_B_C_FULL","rolling_window_width",90,4096,0,4096,4096,4096
"A_B_C_FULL","stale_word_ratio",90,0.0771931333333333,0.00611144796134841,0.080702,0.063158,0.091228
"A_B_C_FULL","total_lookups",90,4001,0,4001,4001,4001
"A_B_C_FULL","vm_workload_duration_ns_q48",90,379780503233.422,18473331823.6754,377785352192,346423558144,435026132992
"A_B_C_FULL","window_tuning_checks",90,0,0,0,0,0
"A_B_CACHE","adaptive_shrink_rate",90,75,0,75,75,75
"A_B_CACHE","avg_word_heat",90,1.45103316666667,0.15058312364625,1.449123,1.084211,1.764912
"A_B_CACHE","bucket_hit_percent",90,64.5917777777778,0.857251392569544,64.76,60.73,66.16
"A_B_CACHE","bucket_hits",90,2584.36666666667,34.2802232761861,2591,2430,2647
"A_B_CACHE","bucket_search_latency_ns",90,52.4,7.78618771293909,51,46,114
"A_B_CACHE","bucket_search_stddev_ns",90,143786.544444444,1019207.44174289,3568.5,2776,9622093
"A_B_CACHE","cache_hit_latency_ns",90,30.2333333333333,4.67854294037618,29,27,62
"A_B_CACHE","cache_hit_percent",90,17.4378888888889,0.855825371303802,17.27,15.87,21.29
"A_B_CACHE","cache_hit_stddev_ns",90,15445.2666666667,83840.6519408137,974,778,716557
"A_B_CACHE","cache_hits",90,697.633333333333,34.2802232761861,691,635,852
"A_B_CACHE","context_accuracy_percent",90,0,0,0,0,0
"A_B_CACHE","context_correct",90,0,0,0,0,0
"A_B_CACHE","context_predictions_total",90,0,0,0,0,0
"A_B_CACHE","cpu_freq_delta_mhz_q48",90,1557572.26666667,4903606.33650706,0,-7405568,28573696
"A_B_CACHE","cpu_temp_delta_c_q48",90,0,0,0,0,0
"A_B_CACHE","decay_min_interval_ns",90,1000,0,1000,1000,1000
"A_B_CACHE","decay_rate_q16",90,1,0,1,1,1
"A_B_CACHE","decay_slope",90,0.33,0,0.33,0.33,0.33
"A_B_CACHE","enable_hotwords_cache",90,1,0,1,1,1
"A_B_CACHE","enable_pipelining",90,0,0,0,0,0
"A_B_CACHE","final_effective_window_size",90,4096,0,4096,4096,4096
"A_B_CACHE","heat_cache_demotion_threshold",90,10,0,10,10,10
"A_B_CACHE","hot_word_count",90,4.63333333333333,0.50725079673325,5,3,5
"A_B_CACHE","prefetch_accuracy_percent",90,0,0,0,0,0
"A_B_CACHE","prefetch_attempts",90,0,0,0,0,0
"A_B_CACHE","prefetch_hits",90,0,0,0,0,0
"A_B_CACHE","rolling_window_size",90,4096,0,4096,4096,4096
"A_B_CACHE","rolling_window_width",90,4096,0,4096,4096,4096
"A_B_CACHE","stale_word_ratio",90,0.0827679,0.0113899455810027,0.0894735,0.063158,0.094737
"A_B_CACHE","total_lookups",90,4001,0,4001,4001,4001
"A_B_CACHE","vm_workload_duration_ns_q48",90,288767096331.378,68283985325.8457,275118718976,246116188160,856260214784
"A_B_CACHE","window_tuning_checks",90,0,0,0,0,0
"A_BASELINE","adaptive_shrink_rate",90,75,0,75,75,75
"A_BASELINE","avg_word_heat",90,1.45898637777778,0.215392826549439,1.440351,0.701754,1.831579
"A_BASELINE","bucket_hit_percent",90,0,0,0,0,0
"A_BASELINE","bucket_hits",90,0,0,0,0,0
"A_BASELINE","bucket_search_latency_ns",90,0,0,0,0,0
"A_BASELINE","bucket_search_stddev_ns",90,0,0,0,0,0
"A_BASELINE","cache_hit_latency_ns",90,0,0,0,0,0
"A_BASELINE","cache_hit_percent",90,0,0,0,0,0
"A_BASELINE","cache_hit_stddev_ns",90,0,0,0,0,0
"A_BASELINE","cache_hits",90,0,0,0,0,0
"A_BASELINE","context_accuracy_percent",90,0,0,0,0,0
"A_BASELINE","context_correct",90,0,0,0,0,0
"A_BASELINE","context_predictions_total",90,0,0,0,0,0
"A_BASELINE","cpu_freq_delta_mhz_q48",90,1279408.35555556,3493174.1099551,65536,-3997696,12976128
"A_BASELINE","cpu_temp_delta_c_q48",90,0,0,0,0,0
"A_BASELINE","decay_min_interval_ns",90,1000,0,1000,1000,1000
"A_BASELINE","decay_rate_q16",90,1,0,1,1,1
"A_BASELINE","decay_slope",90,0.33,0,0.33,0.33,0.33
"A_BASELINE","enable_hotwords_cache",90,0,0,0,0,0
"A_BASELINE","enable_pipelining",90,0,0,0,0,0
"A_BASELINE","final_effective_window_size",90,4096,0,4096,4096,4096
"A_BASELINE","heat_cache_demotion_threshold",90,10,0,10,10,10
"A_BASELINE","hot_word_count",90,4.45555555555556,0.638838677937915,4.5,1,5
"A_BASELINE","prefetch_accuracy_percent",90,0,0,0,0,0
"A_BASELINE","prefetch_attempts",90,0,0,0,0,0
"A_BASELINE","prefetch_hits",90,0,0,0,0,0
"A_BASELINE","rolling_window_size",90,4096,0,4096,4096,4096
"A_BASELINE","rolling_window_width",90,4096,0,4096,4096,4096
"A_BASELINE","stale_word_ratio",90,0.0810524777777778,0.0118092340923455,0.0719295,0.063158,0.094737
"A_BASELINE","total_lookups",90,0,0,0,0,0
"A_BASELINE","vm_workload_duration_ns_q48",90,272560251062.044,32366437076.8693,263488503808,245501132800,483576381440
"A_BASELINE","window_tuning_checks",90,0,0,0,0,0
"A_C_FULL","adaptive_shrink_rate",90,75,0,75,75,75
"A_C_FULL","avg_word_heat",90,1.18074076666667,0.205928659983028,1.249123,0.635088,1.431579
"A_C_FULL","bucket_hit_percent",90,0,0,0,0,0
"A_C_FULL","bucket_hits",90,0,0,0,0,0
"A_C_FULL","bucket_search_latency_ns",90,0,0,0,0,0
"A_C_FULL","bucket_search_stddev_ns",90,0,0,0,0,0
"A_C_FULL","cache_hit_latency_ns",90,0,0,0,0,0
"A_C_FULL","cache_hit_percent",90,0,0,0,0,0
"A_C_FULL","cache_hit_stddev_ns",90,0,0,0,0,0
"A_C_FULL","cache_hits",90,0,0,0,0,0
"A_C_FULL","context_accuracy_percent",90,0,0,0,0,0
"A_C_FULL","context_correct",90,0,0,0,0,0
"A_C_FULL","context_predictions_total",90,0,0,0,0,0
"A_C_FULL","cpu_freq_delta_mhz_q48",90,1538639.64444444,5758519.56439435,0,-11665408,32047104
"A_C_FULL","cpu_temp_delta_c_q48",90,0,0,0,0,0
"A_C_FULL","decay_min_interval_ns",90,1000,0,1000,1000,1000
"A_C_FULL","decay_rate_q16",90,1,0,1,1,1
"A_C_FULL","decay_slope",90,0.33,0,0.33,0.33,0.33
"A_C_FULL","enable_hotwords_cache",90,0,0,0,0,0
"A_C_FULL","enable_pipelining",90,1,0,1,1,1
"A_C_FULL","final_effective_window_size",90,4096,0,4096,4096,4096
"A_C_FULL","heat_cache_demotion_threshold",90,10,0,10,10,10
"A_C_FULL","hot_word_count",90,3.77777777777778,1.18774432403439,4,1,5
"A_C_FULL","prefetch_accuracy_percent",90,0,0,0,0,0
"A_C_FULL","prefetch_attempts",90,0,0,0,0,0
"A_C_FULL","prefetch_hits",90,0,0,0,0,0
"A_C_FULL","rolling_window_size",90,4096,0,4096,4096,4096
"A_C_FULL","rolling_window_width",90,4096,0,4096,4096,4096
"A_C_FULL","stale_word_ratio",90,0.0815985111111111,0.0136307229104576,0.087719,0.063158,0.094737
"A_C_FULL","total_lookups",90,0,0,0,0,0
"A_C_FULL","vm_workload_duration_ns_q48",90,348700100380.444,82876209515.6217,330883268608,294533398528,1065267757056
"A_C_FULL","window_tuning_checks",90,0,0,0,0,0
