timestamp,configuration,run_number,total_lookups,cache_hits,cache_hit_percent,bucket_hits,bucket_hit_percent,cache_hit_latency_ns,cache_hit_stddev_ns,bucket_search_latency_ns,bucket_search_stddev_ns,context_predictions_total,context_correct,context_accuracy_percent,rolling_window_width,decay_slope,hot_word_count,stale_word_ratio,avg_word_heat,prefetch_accuracy_percent,prefetch_attempts,prefetch_hits,window_tuning_checks,final_effective_window_size,vm_workload_duration_ns_q48,cpu_temp_delta_c_q48,cpu_freq_delta_mhz_q48,decay_rate_q16,decay_min_interval_ns,rolling_window_size,adaptive_shrink_rate,heat_cache_demotion_threshold,enable_hotwords_cache,enable_pipelining
2025-11-09T23:25:55,A_B_C_FULL,19,4001,896,22.39,2386,59.64,35,1509,57,4942,851,752,88.37,4096,0.33,5,0.091228,1.410526,88.37,851,752,0,4096,424198799360,0,-65536,1,1000,4096,75,10,1,1
2025-11-09T23:26:06,A_B_CACHE,77,4001,704,17.60,2578,64.43,29,923,50,3776,0,0,0.00,4096,0.33,5,0.080702,1.547368,0.00,0,0,0,4096,273434542080,0,12713984,1,1000,4096,75,10,1,0
2025-11-09T23:26:14,A_C_FULL,20,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,4,0.073684,1.228070,0.00,0,0,0,4096,346181664768,0,1507328,1,1000,4096,75,10,0,1
2025-11-09T23:26:22,A_BASELINE,25,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,4,0.070175,1.340351,0.00,0,0,0,4096,273931173888,0,131072,1,1000,4096,75,10,0,0
2025-11-09T23:26:30,A_B_CACHE,72,4001,677,16.92,2605,65.11,32,1606,63,94401,0,0,0.00,4096,0.33,5,0.087719,1.452632,0.00,0,0,0,4096,372963934208,0,65536,1,1000,4096,75,10,1,0
2025-11-09T23:26:30,A_B_CACHE,12,4001,707,17.67,2575,64.36,28,849,48,3165,0,0,0.00,4096,0.33,5,0.094737,1.596491,0.00,0,0,0,4096,297822257152,0,7733248,1,1000,4096,75,10,1,0
2025-11-09T23:26:38,A_BASELINE,71,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,4,0.070175,1.214035,0.00,0,0,0,4096,261375524864,0,1114112,1,1000,4096,75,10,0,0
2025-11-09T23:26:47,A_C_FULL,32,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,4,0.073684,1.091228,0.00,0,0,0,4096,411172995072,0,-458752,1,1000,4096,75,10,0,1
2025-11-09T23:26:55,A_BASELINE,80,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,5,0.094737,1.673684,0.00,0,0,0,4096,277266628608,0,-65536,1,1000,4096,75,10,0,0
2025-11-09T23:27:03,A_B_CACHE,49,4001,682,17.05,2600,64.98,29,895,68,692341,0,0,0.00,4096,0.33,5,0.094737,1.585965,0.00,0,0,0,4096,290552545280,0,0,1,1000,4096,75,10,1,0
2025-11-09T23:27:11,A_B_C_FULL,89,4001,900,22.49,2382,59.54,33,1319,56,4303,851,752,88.37,4096,0.33,6,0.080702,1.698246,88.37,851,752,0,4096,386566062080,0,0,1,1000,4096,75,10,1,1
2025-11-09T23:27:11,A_B_C_FULL,35,4001,889,22.22,2393,59.81,34,1388,56,4702,851,752,88.37,4096,0.33,6,0.080702,1.708772,88.37,851,752,0,4096,392200257536,0,65536,1,1000,4096,75,10,1,1
2025-11-09T23:27:19,A_BASELINE,3,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,5,0.094737,1.750877,0.00,0,0,0,4096,260276420608,0,11534336,1,1000,4096,75,10,0,0
2025-11-09T23:27:27,A_B_CACHE,59,4001,681,17.02,2601,65.01,29,973,52,4228,0,0,0.00,4096,0.33,5,0.094737,1.610526,0.00,0,0,0,4096,498596773888,0,65536,1,1000,4096,75,10,1,0
2025-11-09T23:27:36,A_B_C_FULL,83,4001,902,22.54,2380,59.49,33,1294,54,3966,851,752,88.37,4096,0.33,6,0.080702,1.708772,88.37,851,752,0,4096,376085872640,0,262144,1,1000,4096,75,10,1,1
2025-11-09T23:27:44,A_BASELINE,49,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,5,0.070175,1.505263,0.00,0,0,0,4096,275594936320,0,65536,1,1000,4096,75,10,0,0
2025-11-09T23:27:52,A_C_FULL,72,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,4,0.073684,1.221053,0.00,0,0,0,4096,404419772416,0,-65536,1,1000,4096,75,10,0,1
2025-11-09T23:28:01,A_B_CACHE,80,4001,679,16.97,2603,65.06,30,1089,55,26501,0,0,0.00,4096,0.33,5,0.094737,1.343860,0.00,0,0,0,4096,287325945856,0,65536,1,1000,4096,75,10,1,0
2025-11-09T23:28:09,A_C_FULL,7,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,4,0.087719,1.147368,0.00,0,0,0,4096,1065267757056,0,-65536,1,1000,4096,75,10,0,1
2025-11-09T23:28:09,A_C_FULL,23,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,4,0.091228,1.203509,0.00,0,0,0,4096,399589310464,0,11862016,1,1000,4096,75,10,0,1
2025-11-09T23:28:17,A_B_C_FULL,60,4001,904,22.59,2378,59.44,33,1256,54,4086,851,752,88.37,4096,0.33,6,0.080702,1.715789,88.37,851,752,0,4096,369789108224,0,1179648,1,1000,4096,75,10,1,1
2025-11-09T23:28:17,A_B_C_FULL,13,4001,890,22.24,2392,59.79,34,1348,53,4181,851,752,88.37,4096,0.33,6,0.080702,1.452632,88.37,851,752,0,4096,379140308992,0,0,1,1000,4096,75,10,1,1
2025-11-09T23:28:25,A_B_CACHE,30,4001,692,17.30,2590,64.73,29,975,68,610477,0,0,0.00,4096,0.33,5,0.091228,1.400000,0.00,0,0,0,4096,280045944832,0,0,1,1000,4096,75,10,1,0
2025-11-09T23:28:33,A_C_FULL,87,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,3,0.063158,1.164912,0.00,0,0,0,4096,341980610560,0,-393216,1,1000,4096,75,10,0,1
