"","cache_hit_percent","bucket_hit_percent","context_accuracy_percent","prefetch_accuracy_percent","vm_workload_duration_ns_q48","cache_hit_latency_ns","total_lookups","cache_hits","bucket_hits","cache_hit_stddev_ns","bucket_search_latency_ns","bucket_search_stddev_ns"
"cache_hit_percent",1,0.975498968006541,0.670181525932182,0.670181525932182,0.184229476626663,0.953343519782819,0.988573584338938,0.999999989607588,0.975500915754376,0.0433335879590843,0.97626305968155,0.0441621494777035
"bucket_hit_percent",0.975498968006541,1,0.529449818386034,0.529449818386034,0.132354689542487,0.957989357014132,0.99751571147335,0.97550664180426,0.999999997714413,0.045765250168468,0.982613691891928,0.0568743231392723
"context_accuracy_percent",0.670181525932182,0.529449818386034,1,1,0.55907620415571,0.603980239491798,0.577350269189626,0.670154959288245,0.529459880851664,0.0297309263017832,0.615290021898062,0.0356960647372826
"prefetch_accuracy_percent",0.670181525932182,0.529449818386034,1,1,0.55907620415571,0.603980239491798,0.577350269189626,0.670154959288245,0.529459880851664,0.0297309263017832,0.615290021898062,0.0356960647372826
"vm_workload_duration_ns_q48",0.184229476626663,0.132354689542487,0.55907620415571,0.55907620415571,1,0.214087264616763,0.149674974449853,0.184217541569116,0.132359948658971,0.0375723638920181,0.21861306651147,0.0685095207668764
"cache_hit_latency_ns",0.953343519782819,0.957989357014132,0.603980239491798,0.603980239491798,0.214087264616763,1,0.961637369156851,0.953348716981176,0.957989705730914,0.277969348271996,0.959403245450546,0.0553415651137085
"total_lookups",0.988573584338938,0.99751571147335,0.577350269189626,0.577350269189626,0.149674974449853,0.961637369156851,1,0.988578839073828,0.997516333831817,0.0452318615520529,0.985848091167482,0.0531095841329548
"cache_hits",0.999999989607588,0.97550664180426,0.670154959288245,0.670154959288245,0.184217541569116,0.953348716981176,0.988578839073828,1,0.97550858046195,0.0433387924769431,0.976268345525027,0.0441692608661857
"bucket_hits",0.975500915754376,0.999999997714413,0.529459880851664,0.529459880851664,0.132359948658971,0.957989705730914,0.997516333831817,0.97550858046195,1,0.045762847428176,0.982614484959393,0.0568726620733303
"cache_hit_stddev_ns",0.0433335879590843,0.045765250168468,0.0297309263017832,0.0297309263017832,0.0375723638920181,0.277969348271996,0.0452318615520529,0.0433387924769431,0.045762847428176,1,0.0493289277732983,-0.00156335562262902
"bucket_search_latency_ns",0.97626305968155,0.982613691891928,0.615290021898062,0.615290021898062,0.21861306651147,0.959403245450546,0.985848091167482,0.976268345525027,0.982614484959393,0.0493289277732983,1,0.16355906676251
"bucket_search_stddev_ns",0.0441621494777035,0.0568743231392723,0.0356960647372826,0.0356960647372826,0.0685095207668764,0.0553415651137085,0.0531095841329548,0.0441692608661857,0.0568726620733303,-0.00156335562262902,0.16355906676251,1
