"metric","observations","mean","sd","median","min","max"
"adaptive_shrink_rate",2880,75,0,75,75,75
"avg_word_heat",2880,1.63673000972222,0.196623208967311,1.659649,0.596491,2.024561
"bucket_hit_percent",2880,28.03171875,28.1064110701005,25.83,0,65.38
"bucket_hits",2880,1121.52430555556,1124.5119777113,1033.5,0,2616
"bucket_search_latency_ns",2880,25.2534722222222,25.6204357181984,21,0,159
"bucket_search_stddev_ns",2880,23699.1152777778,446307.971833312,1148.5,0,20976960
"cache_hit_latency_ns",2880,14.409375,14.9868107682778,11.5,0,152
"cache_hit_percent",2880,12.9832361111111,13.1355833678274,8.325,0,30.37
"cache_hit_stddev_ns",2880,15094.9875,333782.610800534,306.5,0,13518718
"cache_hits",2880,519.475694444444,525.568507188208,333,0,1215
"context_accuracy_percent",2880,22.0925,38.2719774836253,0,0,88.37
"context_correct",2880,188,325.682098762999,0,0,752
"context_predictions_total",2880,212.75,368.55780059483,0,0,851
"cpu_freq_delta_mhz_q48",2880,5071325.86666667,11802770.4021087,524288,-103612416,43384832
"cpu_temp_delta_c_q48",2880,0,0,0,0,0
"decay_min_interval_ns",2880,1000,0,1000,1000,1000
"decay_rate_q16",2880,1,0,1,1,1
"decay_slope",2880,0.33,0,0.33,0.33,0.33
"enable_hotwords_cache",2880,0.5,0.500086828167712,0.5,0,1
"enable_pipelining",2880,0.5,0.500086828167712,0.5,0,1
"final_effective_window_size",2880,4096,0,4096,4096,4096
"heat_cache_demotion_threshold",2880,10,0,10,10,10
"hot_word_count",2880,5.26909722222222,0.987671424575934,5,0,8
"prefetch_accuracy_percent",2880,22.0925,38.2719774836253,0,0,88.37
"prefetch_attempts",2880,212.75,368.55780059483,0,0,851
"prefetch_hits",2880,188,325.682098762999,0,0,752
"rolling_window_size",2880,4096,0,4096,4096,4096
"rolling_window_width",2880,4096,0,4096,4096,4096
"stale_word_ratio",2880,0.0804214309027778,0.00990152991827828,0.073684,0.05614,0.094737
"total_lookups",2880,2000.5,2000.84739949902,2000.5,0,4001
"vm_workload_duration_ns_q48",2880,238323073388.089,47031008533.8951,227676160000,152306384896,557871529984
"window_tuning_checks",2880,0,0,0,0,0
